cat 1 558 0 0 0 1 197
cat 2 859 0 0 0 1 195
cat 3 3455 0 0 0 1 186
cat 4 283 0 0 0 1 198
cut 1 0 0 0 0 0 207
cut 2 0 0 0 0 0 225
cut 3 0 0 0 0 0 180
cut 4 0 0 0 0 0 166
df 1 234 0 0 0 1 244
df 2 72 0 0 0 1 261
df 3 112 0 0 0 1 252
df 4 129 0 0 0 1 282
du 1 0 0 0 0 0 0
du 2 0 0 0 0 0 0
du 3 0 0 0 0 0 0
du 4 0 0 0 0 0 0
echo 1 184 0 0 0 1 200
echo 2 25 0 0 0 1 213
echo 3 55 0 0 0 1 200
echo 4 3100 0 0 0 1 212
expand 1 245 0 0 0 1 182
expand 2 48 0 0 0 1 164
expand 3 118 0 0 0 1 153
expand 4 239 0 0 0 1 187
expr 1 0 0 0 0 0 483
expr 2 3092 0 0 0 1 490
expr 3 0 0 0 0 0 451
expr 4 814 0 0 0 1 495
fmt 1 0 0 0 0 1 249
fmt 2 1421 0 0 0 1 254
fmt 3 1018 0 0 0 1 262
fmt 4 0 0 0 0 0 246
head 1 688 0 0 0 1 192
head 2 207 0 0 0 1 355
head 3 30 0 0 0 1 180
head 4 368 0 0 0 1 454
id 1 244 0 0 0 1 102
id 2 3014 0 0 0 1 109
id 3 2313 0 0 0 1 105
id 4 1720 0 0 0 1 105
kill 1 0 0 0 0 0 0
kill 2 0 0 0 0 0 0
kill 3 0 0 0 0 0 0
kill 4 0 0 0 0 0 0
ln 1 0 0 0 0 0 0
ln 2 0 0 0 0 0 0
ln 3 0 0 0 0 0 258
ln 4 0 0 0 0 0 0
ls 1 0 0 0 0 0 0
ls 2 0 0 0 0 0 0
ls 3 0 0 0 0 0 0
ls 4 0 0 0 0 0 0
nl 1 0 0 0 0 0 225
nl 2 0 0 0 0 0 206
nl 3 0 0 0 0 0 200
nl 4 0 0 0 0 0 216
pathchk 1 235 0 0 0 1 232
pathchk 2 262 0 0 0 1 218
pathchk 3 716 0 0 0 1 246
pathchk 4 332 0 0 0 1 227
pinky 1 0 0 0 0 0 0
pinky 2 0 0 0 0 0 0
pinky 3 0 0 0 0 0 0
pinky 4 2675 0 0 0 1 67
pr 1 0 0 0 0 0 404
pr 2 0 0 0 0 0 384
pr 3 0 0 0 0 0 392
pr 4 0 0 0 0 0 380
printf 1 481 0 0 0 1 526
printf 2 544 0 0 0 1 477
printf 3 30 0 0 0 1 589
printf 4 470 0 0 0 1 531
seq 1 2000 0 0 0 1 137
seq 2 0 0 0 0 0 200
seq 3 0 0 0 0 0 199
seq 4 288 0 0 0 1 202
stat 1 173 0 0 0 1 312
stat 2 182 0 0 0 1 387
stat 3 266 0 0 0 1 403
stat 4 626 0 0 0 1 438
sum 1 112 0 0 0 1 103
sum 2 108 0 0 0 1 94
sum 3 106 0 0 0 1 105
sum 4 128 0 0 0 1 95
tail 1 680 0 0 0 1 82
tail 2 0 0 0 0 0 65
tail 3 367 0 0 0 1 76
tail 4 0 0 0 0 0 85
touch 1 50 0 0 0 1 203
touch 2 0 0 0 0 0 0
touch 3 0 0 0 0 0 0
touch 4 0 0 0 0 0 201
ptx 1 3304 0 0 0 1 211
ptx 2 259 0 0 0 1 123
ptx 3 100 0 0 0 1 175
ptx 4 239 0 0 0 1 373
unexpand 1 7 0 0 0 1 205
unexpand 2 83 0 0 0 1 208
unexpand 3 234 0 0 0 1 209
unexpand 4 252 0 0 0 1 203
uniq 1 0 0 0 0 0 0
uniq 2 508 0 0 0 1 493
uniq 3 1146 0 0 0 1 458
uniq 4 1244 0 0 0 1 535
who 1 0 0 0 0 0 0
who 2 53 0 0 0 1 196
who 3 89 0 0 0 1 188
who 4 0 0 0 0 0 191
test 1 0 0 0 0 0 37
test 2 0 0 0 0 0 49
test 3 0 0 0 0 0 38
test 4 0 0 0 0 0 40
wc 1 0 0 0 0 0 0
wc 2 0 0 0 0 0 0
wc 3 0 0 0 0 0 0
wc 4 0 0 0 0 0 0
chmod 1 0 0 0 0 0 40
chmod 2 0 0 0 0 0 0
chmod 3 0 0 0 0 0 0
chmod 4 0 0 0 0 0 0
